acc_x,acc_y,acc_z,vib,Earthquake
337,342,417,97,Normal
337,343,417,96,Normal
337,343,418,97,Normal
339,344,420,97,Normal
338,343,417,96,Normal
337,343,418,97,Normal
337,343,417,97,Normal
336,342,416,97,Normal
337,343,417,97,Normal
338,344,419,96,Normal
338,344,418,97,Normal
337,343,417,96,Normal
340,346,421,97,Normal
338,343,418,96,Normal
338,343,418,97,Normal
337,342,416,97,Normal
338,343,417,97,Normal
340,345,421,97,Normal
338,343,418,97,Normal
338,343,418,97,Normal
337,342,417,97,Normal
337,342,416,97,Normal
337,342,416,96,Normal
338,342,416,96,Normal
337,342,417,96,Normal
337,342,416,96,Normal
337,342,415,96,Normal
337,342,416,96,Normal
338,343,417,96,Normal
338,343,416,97,Normal
338,343,417,96,Normal
339,344,417,96,Normal
337,342,415,96,Normal
336,341,415,97,Normal
338,343,416,96,Normal
338,343,417,96,Normal
337,342,415,97,Normal
337,343,416,97,Normal
338,342,415,96,Normal
339,343,417,96,Normal
337,342,416,96,Normal
338,343,417,97,Normal
338,343,416,96,Normal
337,342,416,97,Normal
338,342,416,96,Normal
338,342,416,96,Normal
338,342,415,96,Normal
339,343,416,97,Normal
338,342,416,96,Normal
337,342,415,97,Normal
337,342,415,96,Normal
338,343,417,96,Normal
337,342,415,97,Normal
338,343,416,96,Normal
341,346,421,97,Normal
336,341,414,96,Normal
337,342,415,96,Normal
338,343,416,96,Normal
337,343,415,96,Normal
338,343,416,97,Normal
337,342,415,96,Normal
338,342,415,96,Normal
341,345,419,97,Normal
339,342,416,96,Normal
338,342,415,97,Normal
339,344,417,96,Normal
339,342,416,97,Normal
339,340,415,97,Normal
347,345,422,97,Normal
346,340,421,97,Normal
344,339,421,97,Normal
343,339,419,96,Normal
343,341,419,96,Normal
342,341,419,96,Normal
341,340,418,97,Normal
343,342,421,97,Normal
342,342,421,97,Normal
342,342,420,96,Normal
341,342,420,97,Normal
341,341,419,96,Normal
340,342,417,96,Normal
345,342,424,97,Normal
340,342,419,97,Normal
341,341,418,96,Normal
341,342,418,96,Normal
340,340,418,97,Normal
340,341,417,96,Normal
340,340,418,96,Normal
341,342,419,97,Normal
340,341,417,97,Normal
340,342,418,97,Normal
340,341,417,97,Normal
340,341,417,96,Normal
339,341,417,96,Normal
341,343,419,97,Normal
341,342,416,96,Normal
341,342,418,97,Normal
342,343,419,97,Normal
342,344,420,96,Normal
341,342,419,97,Normal
341,341,419,97,Normal
341,342,419,97,Normal
340,342,418,96,Normal
341,342,419,96,Normal
342,346,422,96,Normal
341,345,416,97,Normal
342,345,420,97,Normal
342,343,421,96,Normal
340,343,418,96,Normal
340,342,419,96,Normal
340,342,418,96,Normal
340,342,418,96,Normal
342,343,419,97,Normal
341,342,418,96,Normal
340,341,418,96,Normal
341,342,419,97,Normal
